"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-30","6.49","0.04","0.0","45","49","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-31","8.05","0.02","0.0","43","45","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-01","14.09","0.00","0.0","44","56","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-02","23.26","0.00","0.0","49","60","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-03","21.03","0.01","0.0","49","52","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-04","11.41","0.00","0.0","50","58","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-05","5.82","0.00","0.0","48","58","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-06","8.72","0.06","0.0","53","63","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-07","10.51","0.00","0.0","54","63","48"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-08","9.62","0.18","0.0","55","64","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-09","14.99","0.13","0.0","50","58","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-10","23.71","0.00","0.0","45","49","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-11","16.11","0.00","0.0","46","55","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-12","12.75","0.00","0.0","49","58","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-13","23.26","1.14","0.0","54","66","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-14","14.54","0.00","0.0","54","57","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-15","13.87","0.00","0.0","48","54","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-16","19.69","0.00","0.0","46","50","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-17","11.18","0.04","0.0","42","50","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-18","10.96","0.09","0.0","44","47","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-19","15.21","0.00","0.0","47","59","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-20","10.29","0.00","0.0","52","55","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-21","18.34","0.36","0.0","49","56","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-22","18.79","0.00","0.0","44","52","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-23","6.49","0.13","0.0","44","48","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-24","11.41","0.60","0.0","46","50","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-25","6.71","0.00","0.0","50","61","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-26","12.75","0.17","0.0","49","51","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-27","16.78","0.00","0.0","44","50","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-28","10.29","0.00","0.0","49","64","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-29","14.76","0.01","0.0","48","55","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-30","23.71","0.37","0.0","52","58","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-01","8.72","0.22","0.0","55","62","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-02","14.32","0.00","0.0","62","74","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-03","10.74","0.11","0.0","62","73","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-04","15.66","0.01","0.0","63","71","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-05","12.53","0.00","0.0","53","63","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-06","8.72","0.02","0.0","49","55","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-07","12.75","0.00","0.0","53","66","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-08","10.51","0.32","0.0","53","59","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-09","22.15","0.03","0.0","42","49","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-10","18.79","0.00","0.0","49","64","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-11","12.97","0.03","0.0","52","61","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-12","17.67","0.00","0.0","51","61","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-13","10.51","0.00","0.0","51","62","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-14","9.62","0.00","0.0","52","61","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-15","10.29","0.03","0.0","63","78","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-16","11.41","0.02","0.0","68","76","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-17","8.95","0.00","0.0","58","64","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-18","10.51","0.00","0.0","59","69","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-19","17.45","0.00","0.0","60","70","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-20","13.42","0.00","0.0","55","63","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-21","6.93","0.00","0.0","53","61","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-22","5.59","0.01","0.0","60","73","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-23","7.83","0.52","0.0","62","70","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-24","11.18","0.00","0.0","57","65","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-25","5.82","0.00","0.0","60","66","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-26","5.14","0.00","0.0","61","69","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-27","5.59","0.00","0.0","62","72","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-28","10.74","0.01","0.0","64","73","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-29","14.99","0.00","0.0","66","73","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-30","11.18","0.00","0.0","69","83","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-05-31","16.11","0.00","0.0","66","73","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-01","9.62","0.00","0.0","60","72","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-02","10.29","0.00","0.0","64","75","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-03","10.74","0.55","0.0","69","80","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-04","10.51","0.10","0.0","72","83","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-05","8.28","0.79","0.0","70","78","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-06","10.51","0.16","0.0","72","86","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-07","12.97","0.00","0.0","72","78","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-08","12.30","0.00","0.0","68","78","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-09","10.96","0.00","0.0","71","81","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-10","12.75","0.00","0.0","71","79","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-11","15.21","0.77","0.0","68","74","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-12","9.40","0.00","0.0","71","83","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-13","11.86","0.00","0.0","68","73","59"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-14","8.72","0.00","0.0","63","71","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-15","8.05","0.00","0.0","64","73","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-16","9.84","0.00","0.0","66","76","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-17","9.40","0.00","0.0","67","80","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-06-18","6.93","0.00","0.0","67","75","62"
