"","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2017-01-27",29.857685,29.924099,29.658443,29.810247,25353654,23.69327
"2017-01-30",29.857685,29.886148,29.468691,29.705881,28947899,23.610321
"2017-01-31",29.421251,30.294119,29.34535,30.104364,39472300,23.927038
"2017-02-01",29.895636,30.066414,29.658443,30.047438,30031938,24.125093
"2017-02-02",29.857685,30.104364,29.71537,30.104364,24634404,24.170801
"2017-02-03",30.40797,30.588236,30.28463,30.445921,37935252,24.445038
"2017-02-06",30.360531,30.673624,30.303604,30.578749,25859258,24.551683
"2017-02-07",30.664137,30.6926,30.303604,30.436434,24781648,24.437414
"2017-02-08",30.28463,30.6926,30.28463,30.493359,20194745,24.483126
"2017-02-09",30.493359,30.872866,30.493359,30.721064,25102380,24.665949
"2017-02-10",30.749525,30.787476,30.578749,30.6926,23090189,24.643097
"2017-02-13",30.777988,31.015181,30.777988,30.93928,21733585,24.841152
"2017-02-14",30.863379,31.091082,30.6926,31.072105,24205532,24.947802
"2017-02-15",31.100569,31.859583,31.015181,31.793169,48035523,25.526743
"2017-02-16",31.736242,32.153702,31.518026,31.897533,40402244,25.610537
"2017-02-17",31.86907,32.153702,31.812143,31.897533,36882306,25.610537
"2017-02-21",31.850096,32.06831,31.764706,31.897533,25391598,25.610537
"2017-02-22",31.850096,32.020874,31.54649,31.86907,28676494,25.587681
"2017-02-23",31.973434,32.371918,31.859583,32.314991,32122863,25.945717
"2017-02-24",32.419353,32.590134,32.248577,32.504745,26046448,26.098066
"2017-02-27",32.47628,32.694496,32.409866,32.52372,23009136,26.113297
"2017-02-28",32.35294,32.504745,32.172676,32.371918,28964658,25.991415
"2017-03-01",32.514233,32.76091,32.305504,32.656548,34034925,26.21995
"2017-03-02",32.694496,32.969639,32.656548,32.741936,26952993,26.288506
"2017-03-03",32.741936,32.874763,32.599621,32.751423,19800760,26.296122
"2017-03-06",32.571156,32.703983,32.333965,32.590134,19174263,26.166626
"2017-03-07",32.134724,32.447819,32.020874,32.248577,30783335,25.892387
"2017-03-08",32.172676,32.35294,31.992411,32.172676,23870360,25.831446
"2017-03-09",32.144215,32.390892,32.049335,32.305504,20199594,25.938095
"2017-03-10",32.390892,32.561668,32.258064,32.362431,20214666,25.983801
"2017-03-13",32.390892,32.400379,32.172676,32.362431,19988056,25.983801
"2017-03-14",32.277039,32.571156,32.23909,32.466793,15563469,26.067591
"2017-03-15",32.466793,32.922199,32.428844,32.855785,24279839,26.379915
"2017-03-16",32.798862,32.855785,32.495255,32.666035,21816219,26.227564
"2017-03-17",32.694496,32.80835,32.514233,32.561668,45736117,26.143768
"2017-03-20",32.637569,32.732449,32.561668,32.618595,18435514,26.189474
"2017-03-21",32.71347,32.836811,32.428844,32.495255,33083479,26.090446
"2017-03-22",32.542694,32.770397,32.248577,32.703983,27528267,26.258039
"2017-03-23",32.561668,32.789375,32.47628,32.533207,21378704,26.120918
"2017-03-24",32.514233,32.514233,32.201138,32.258064,28583110,25.900005
"2017-03-27",32.011387,32.552181,32.011387,32.428844,18852055,26.037125
"2017-03-28",32.314991,32.504745,32.229603,32.409866,19327725,26.021887
"2017-03-29",32.409866,32.685009,32.362431,32.571156,18214174,26.15139
"2017-03-30",32.438332,32.675522,32.400379,32.590134,15803465,26.166626
"2017-03-31",32.457306,32.618595,32.409866,32.457306,19616837,26.059978
"2017-04-03",32.362431,32.590134,32.35294,32.485767,19064752,26.082829
"2017-04-04",32.428844,32.732449,32.305504,32.580647,20324177,26.159008
"2017-04-05",32.571156,32.751423,32.400379,32.438332,20321225,26.044744
"2017-04-06",32.390892,32.590134,32.314991,32.362431,17164706,25.983801
"2017-04-07",32.343452,32.495255,32.296017,32.35294,14728069,25.976181
"2017-04-10",32.381405,32.466793,32.229603,32.296017,16852722,25.930483
"2017-04-11",32.277039,32.333965,32.011387,32.19165,20155642,25.846684
"2017-04-12",32.144215,32.248577,31.982922,32.182163,26022628,25.839067
"2017-04-13",32.144215,32.277039,32.087288,32.144215,13560553,25.808598
"2017-04-17",32.163189,32.305504,32.087288,32.258064,15963462,25.900005
"2017-04-18",32.030361,32.144215,31.935484,32.106262,22293365,25.778124
"2017-04-19",32.115749,32.172676,31.83112,31.888046,25204302,25.602917
"2017-04-20",31.907021,32.134724,31.764706,32.011387,19339319,25.701946
"2017-04-21",31.91651,32.0019,31.755219,31.91651,25552227,25.625772
"2017-04-24",32.23909,32.28653,31.925997,32.011387,22438501,25.701946
"2017-04-25",32.087288,32.220116,31.982922,32.030361,19756176,25.717184
"2017-04-26",32.125237,32.28653,32.115749,32.115749,20884483,25.78574
"2017-04-27",32.220116,32.277039,32.039848,32.125237,15633139,25.793364
"2017-04-28",32.144215,32.201138,32.020874,32.182163,16842077,25.839067
"2017-05-01",32.153702,32.248577,32.039848,32.049335,23910833,25.732418
"2017-05-02",31.859583,31.992411,31.195446,31.888046,42965678,25.602917
"2017-05-03",31.764706,31.86907,31.593927,31.755219,26155748,25.496267
"2017-05-04",31.726755,31.86907,31.612904,31.736242,26897869,25.481033
"2017-05-05",31.726755,31.764706,31.527514,31.764706,22999966,25.503889
"2017-05-08",31.688805,31.897533,31.641365,31.736242,24781543,25.481033
"2017-05-09",31.736242,31.86907,31.641365,31.669828,18028248,25.427708
"2017-05-10",31.309298,31.423149,31.21442,31.337761,34829852,25.404638
"2017-05-11",31.29981,31.442125,31.166983,31.347248,26421567,25.412325
"2017-05-12",31.204933,31.375711,31.204933,31.318787,18589187,25.389256
"2017-05-15",31.280834,31.480076,31.119545,31.423149,20530444,25.473862
"2017-05-16",30.891842,31.119545,30.730551,30.92979,42437834,25.07391
"2017-05-17",30.92979,30.92979,30.559772,30.578749,29931281,24.789328
"2017-05-18",30.550285,30.759012,30.426945,30.56926,24874822,24.781635
"2017-05-19",30.645161,30.796965,30.540796,30.796965,29885432,24.966232
"2017-05-22",30.834915,30.834915,30.474382,30.474382,26725962,24.70472
"2017-05-23",30.474382,30.626186,30.436434,30.493359,18517410,24.720104
"2017-05-24",30.521822,30.626186,30.332067,30.40797,23576821,24.650885
"2017-05-25",30.417458,30.550285,30.332067,30.512335,18227244,24.735489
"2017-05-26",30.531309,30.635674,30.455408,30.493359,12330746,24.720104
"2017-05-30",30.417458,30.65465,30.379507,30.483871,16913643,24.71241
"2017-05-31",30.626186,31.110058,30.483871,30.97723,30585499,25.112364
"2017-06-01",30.996204,31.166983,30.853889,31.034157,25184803,25.158516
"2017-06-02",31.091082,31.195446,30.777988,30.872866,21984543,25.027761
"2017-06-05",30.844402,30.910816,30.550285,30.6926,14994836,24.881628
"2017-06-06",30.645161,30.711575,30.398481,30.426945,18831186,24.666267
"2017-06-07",30.436434,30.512335,30.265656,30.360531,17479641,24.612427
"2017-06-08",30.360531,30.455408,30.047438,30.123341,35620773,24.420139
"2017-06-09",30.180265,31.119545,30.113852,31.091082,31764609,25.20466
"2017-06-12",31.091082,31.394688,31.024668,31.024668,30435515,25.150822
"2017-06-13",31.034157,31.100569,30.853889,30.910816,18093913,25.058525
"2017-06-14",30.920303,31.081594,30.796965,31.015181,14568177,25.143137
"2017-06-15",30.948767,31.337761,30.891842,31.129032,19952115,25.235426
"2017-06-16",31.290323,31.432638,31.129032,31.280834,33600044,25.358488
"2017-06-19",31.252373,31.54649,31.223909,31.518026,21922146,25.550779
"2017-06-20",31.508539,32.020874,31.451612,31.840607,27473775,25.812286
"2017-06-21",31.859583,32.35294,31.859583,32.144215,27134492,26.058411
"2017-06-22",32.210625,32.71347,32.182163,32.314991,23352529,26.196852
"2017-06-23",32.333965,32.466793,32.229603,32.419353,31668800,26.281458
"2017-06-26",32.409866,32.457306,32.229603,32.296017,14937604,26.181469
"2017-06-27",32.381405,32.381405,32.020874,32.039848,16089942,25.973801
"2017-06-28",32.125237,32.248577,31.925997,32.020874,15594035,25.958422
"2017-06-29",32.020874,32.134724,31.660341,31.907021,15724837,25.866117
"2017-06-30",32.0019,32.06831,31.793169,31.86907,14242175,25.835356
"2017-07-03",31.764706,32.229603,31.755219,32.087288,8971964,26.012255
"2017-07-05",32.201138,32.210625,31.774195,31.91651,17072270,25.873814
"2017-07-06",31.91651,31.944971,31.442125,31.518026,14676318,25.550779
"2017-07-07",31.54649,31.650854,31.328274,31.641365,17914522,25.650763
"2017-07-10",31.650854,31.812143,31.537003,31.698292,14256720,25.696907
"2017-07-11",31.688805,31.755219,31.356735,31.470589,12874083,25.51232
"2017-07-12",31.63188,31.812143,31.49905,31.518026,14577979,25.550779
"2017-07-13",31.518026,31.63188,31.29981,31.574953,14112006,25.596928
"2017-07-14",31.565466,31.83112,31.537003,31.717268,13175843,25.712292
"2017-07-17",31.726755,31.755219,31.442125,31.54649,17733866,25.573849
"2017-07-18",31.527514,31.679317,31.347248,31.650854,15356148,25.658455
"2017-07-19",31.660341,31.963947,31.603416,31.897533,19825951,25.858431
"2017-07-20",31.755219,31.973434,31.63188,31.821632,17870043,25.7969
"2017-07-21",31.755219,31.859583,31.679317,31.764706,12673718,25.750751
"2017-07-24",31.669828,31.736242,31.470589,31.612904,15558937,25.627684
"2017-07-25",31.669828,31.764706,31.318787,31.404175,20856025,25.458481
"2017-07-26",31.394688,31.404175,31.148008,31.204933,16572674,25.296965
"2017-07-27",31.110058,31.309298,31.015181,31.309298,17561221,25.381565
"2017-07-28",31.366224,31.470589,31.129032,31.451612,17116117,25.496935
"2017-07-31",31.508539,31.679317,31.442125,31.461102,23169660,25.504625
"2017-08-01",31.347248,31.593927,31.043644,31.385199,28072552,25.443094
"2017-08-02",31.185959,31.233397,31.024668,31.233397,30412116,25.567358
"2017-08-03",31.26186,32.077801,31.176472,31.717268,28739945,25.963451
"2017-08-04",31.859583,32.258064,31.764706,31.91651,27183398,26.126547
"2017-08-07",31.83112,31.86907,31.54649,31.603416,13188280,25.870255
"2017-08-08",31.622391,31.745731,31.518026,31.574953,16986475,25.846958
"2017-08-09",31.63188,31.745731,31.461102,31.736242,15807681,25.978987
"2017-08-10",31.660341,31.83112,31.508539,31.707781,19062539,25.955685
"2017-08-11",31.783682,31.850096,31.508539,31.54649,13626639,25.823656
"2017-08-14",31.622391,31.660341,31.442125,31.603416,13482241,25.870255
"2017-08-15",31.63188,31.812143,31.555977,31.669828,18048801,25.924616
"2017-08-16",31.622391,31.774195,31.555977,31.650854,11128764,25.909088
"2017-08-17",31.58444,31.736242,31.26186,31.26186,15661175,25.590658
"2017-08-18",31.223909,31.280834,30.97723,30.996204,16326565,25.373194
"2017-08-21",30.92979,31.185959,30.664137,31.081594,17848752,25.443094
"2017-08-22",31.081594,31.518026,31.024668,31.451612,14178619,25.745991
"2017-08-23",31.375711,31.679317,31.375711,31.537003,16989953,25.815891
"2017-08-24",31.660341,31.688805,31.470589,31.527514,12140394,25.808126
"2017-08-25",31.574953,31.897533,31.527514,31.679317,15171171,25.932383
"2017-08-28",31.783682,31.897533,31.698292,31.755219,13033026,25.994516
"2017-08-29",31.717268,31.83112,31.537003,31.783682,12884096,26.01782
"2017-08-30",31.764706,31.764706,31.54649,31.736242,12394935,25.978987
"2017-08-31",31.783682,32.277039,31.764706,32.182163,27300497,26.344015
"2017-09-01",32.201138,32.381405,32.087288,32.220116,19160771,26.375082
"2017-09-05",32.144215,32.419353,32.020874,32.06831,15068616,26.250813
"2017-09-06",32.210625,32.362431,32.172676,32.248577,13925764,26.398375
"2017-09-07",32.296017,32.381405,32.077801,32.248577,18831923,26.398375
"2017-09-08",32.210625,32.495255,32.06831,32.35294,16276290,26.483809
"2017-09-11",32.343452,32.580647,32.23909,32.561668,17263993,26.654673
"2017-09-12",32.618595,33.918407,32.599621,33.557877,39268351,27.470154
"2017-09-13",33.45351,33.614799,33.178368,33.263756,22115450,27.229393
"2017-09-14",33.254269,34.003796,33.206833,33.899429,28907847,27.74975
"2017-09-15",33.776093,33.889942,33.434536,33.548386,30430139,27.462391
"2017-09-18",33.567364,33.728653,33.406071,33.728653,17850755,27.609949
"2017-09-19",33.833015,33.833015,33.538898,33.633778,16539579,27.53229
"2017-09-20",34.089184,34.354839,33.97533,34.146111,27066825,27.951683
"2017-09-21",34.212524,34.335861,34.07021,34.127136,16580579,27.93615
"2017-09-22",34.250473,34.269451,33.937382,34.117645,15394092,27.928379
"2017-09-25",34.060722,34.184059,33.624287,33.690701,23379828,27.57888
"2017-09-26",33.690701,33.823528,33.434536,33.491463,18508029,27.415796
"2017-09-27",33.444023,33.709679,33.387096,33.633778,15502759,27.53229
"2017-09-28",33.462997,33.946869,33.415562,33.776093,19038086,27.648785
"2017-09-29",33.814041,33.870968,33.538898,33.870968,16867900,27.726456
"2017-10-02",33.842506,34.250473,33.671726,34.222012,17541300,28.013811
"2017-10-03",34.174572,34.345352,33.918407,34.288425,14328392,28.068176
"2017-10-04",34.326378,34.383301,34.060722,34.117645,11435268,27.928379
"2017-10-05",34.041744,34.155598,33.918407,34.155598,14340408,27.959446
"2017-10-06",34.146111,34.288425,34.098671,34.203037,12711345,27.998283
"2017-10-09",34.212524,34.297913,34.089184,34.288425,10278081,28.068176
"2017-10-10",34.516129,34.639469,34.184059,34.535103,18697433,28.270107
"2017-10-11",34.506641,34.611008,34.345352,34.582542,18163687,28.308939
"2017-10-12",34.611008,34.724857,34.421253,34.487667,14750098,28.231276
"2017-10-13",34.506641,34.620495,34.392788,34.478176,13458842,28.223499
"2017-10-16",34.487667,34.611008,34.041744,34.136623,14315006,27.943913
"2017-10-17",34.089184,34.468693,33.918407,34.345352,14776764,28.114779
"2017-10-18",34.392788,34.43074,33.956356,33.994308,15196572,27.827415
"2017-10-19",34.051231,34.516129,34.003796,34.383301,20858028,28.145838
"2017-10-20",34.440228,34.554081,34.184059,34.554081,18447319,28.285637
"2017-10-23",34.440228,34.895638,34.440228,34.535103,15978008,28.270107
"2017-10-24",34.582542,34.658443,34.146111,34.411766,15826126,28.169142
"2017-10-25",34.345352,34.487667,34.079697,34.3074,17523488,28.083706
"2017-10-26",34.240986,34.364326,33.776093,33.908916,18374277,27.757513
"2017-10-27",33.709679,33.918407,33.586338,33.776093,15746865,27.648785
"2017-10-30",33.614799,33.652752,33.225807,33.349148,26679586,27.299295
"2017-10-31",33.254269,33.529411,32.35294,33.263756,24794085,27.229393
"2017-11-01",33.21632,33.899429,33.111954,33.45351,16557497,27.384724
"2017-11-02",33.462997,33.690701,33.235294,33.643265,13880021,27.540058
"2017-11-03",33.633778,33.73814,33.510437,33.728653,9358255,27.609949
"2017-11-06",33.766602,33.78558,33.320683,33.510437,11200542,27.431326
"2017-11-07",33.491463,33.605312,33.434536,33.548386,11480906,27.462391
"2017-11-08",33.557877,33.576851,33.235294,33.529411,14302148,27.446854
"2017-11-09",33.28273,33.444023,33.055027,33.396584,14088713,27.587923
"2017-11-10",33.301708,33.387096,33.017078,33.377609,15858589,27.572258
"2017-11-13",33.415562,33.662239,33.339657,33.491463,25072657,27.666313
"2017-11-14",33.444023,33.870968,33.415562,33.567364,17278538,27.729006
"2017-11-15",33.472485,33.681213,33.425049,33.548386,13646138,27.713331
"2017-11-16",33.529411,33.757114,33.444023,33.73814,13625901,27.870083
"2017-11-17",33.557877,33.671726,33.368122,33.557877,15649265,27.721169
"2017-11-20",33.567364,33.633778,33.462997,33.538898,12455540,27.705488
"2017-11-21",33.586338,33.899429,33.567364,33.719166,13333100,27.854403
"2017-11-22",33.633778,33.681213,33.510437,33.614799,11122967,27.768192
"2017-11-24",33.690701,33.73814,33.557877,33.671726,6742754,27.815216
"2017-11-27",33.700191,33.823528,33.567364,33.671726,10848611,27.815216
"2017-11-28",33.766602,34.051231,33.700191,34.013283,13687033,28.097361
"2017-11-29",34.098671,34.544594,34.041744,34.354839,16122827,28.379515
"2017-11-30",34.354839,34.611008,34.231499,34.402279,24063663,28.418705
"2017-12-01",34.43074,34.629982,34.165085,34.487667,19588485,28.489241
"2017-12-04",34.620495,34.743832,34.203037,34.212524,14847487,28.261948
"2017-12-05",34.079697,34.335861,33.690701,33.804554,23525912,27.924944
"2017-12-06",33.757114,34.041744,33.690701,33.73814,18317677,27.870083
"2017-12-07",33.73814,33.814041,33.349148,33.681213,16661421,27.82305
"2017-12-08",33.510437,33.937382,33.510437,33.908916,15705759,28.011152
"2017-12-11",34.193546,34.402279,33.861481,34.354839,15138497,28.379515
"2017-12-12",34.497154,34.933586,34.392788,34.705883,23700139,28.669495
"2017-12-13",34.696396,34.914612,34.601517,34.76281,16639709,28.716536
"2017-12-14",34.848198,35,34.478176,34.59203,15585393,28.575451
"2017-12-15",34.895638,35.322582,34.829224,35.294117,39820015,29.155432
"2017-12-18",35.313091,35.436432,35.161289,35.227703,17670415,29.100565
"2017-12-19",35.294117,35.322582,34.990513,35.04744,14817659,28.951654
"2017-12-20",35.094875,35.23719,34.554081,34.59203,15914557,28.575451
"2017-12-21",34.667931,34.724857,34.335861,34.383301,15566948,28.403027
"2017-12-22",34.411766,34.516129,34.203037,34.288425,9063557,28.324657
"2017-12-26",34.240986,34.411766,34.108158,34.354839,11480590,28.379515
"2017-12-27",34.449715,34.59203,34.373814,34.468693,8768964,28.47357
"2017-12-28",34.497154,34.658443,34.392788,34.506641,6939431,28.504913
"2017-12-29",34.373814,34.620495,34.364326,34.364326,12038261,28.38735
"2018-01-02",34.516129,34.648956,34.383301,34.573055,17059833,28.559774
"2018-01-03",34.582542,34.886147,34.373814,34.829224,14183151,28.771391
"2018-01-04",34.829224,35.028461,34.724857,34.905125,13046517,28.834093
"2018-01-05",34.933586,34.990513,34.734344,34.971539,13167517,28.888948
"2018-01-08",34.838711,34.914612,34.468693,34.582542,19964341,28.567616
"2018-01-09",34.573055,34.76281,34.497154,34.544594,16876226,28.536274
"2018-01-10",34.478176,34.734344,34.449715,34.601517,18755825,28.583286
"2018-01-11",34.76281,34.819733,34.554081,34.686909,15102555,28.653828
"2018-01-12",34.753323,34.914612,34.59203,34.667931,20240700,28.638157
"2018-01-16",34.696396,35.085388,34.601517,34.724857,30536699,28.685175
"2018-01-17",34.933586,35.455406,34.886147,35.275143,25332363,29.139757
"2018-01-18",35.265656,35.265656,34.819733,35.094875,19946528,28.990833
"2018-01-19",35.28463,35.370018,34.629982,35.04744,31133684,28.951654
"2018-01-22",35,35.170776,34.848198,35.037952,21380495,28.943813
"2018-01-23",34.933586,35.180267,34.667931,34.933586,18527212,28.857605
"2018-01-24",35.094875,35.170776,34.848198,35.037952,18673191,28.943813
"2018-01-25",35.075901,35.426945,35.009487,35.322582,18988232,29.178936
"2018-01-26",35.388992,37.087288,35.388992,37.011387,51441419,30.574009
"2018-01-29",37.0019,37.409866,36.78368,37.020874,36779014,30.581858
"2018-01-30",36.252373,36.764706,35.436432,35.863377,48483684,29.625673
"2018-01-31",35.97723,36.043644,34.943073,35.142315,35859926,29.030029
"2018-02-01",34.734344,35.483871,34.734344,34.943073,29697926,29.13286
"2018-02-02",34.724857,35.341557,34.639469,34.734344,25588907,28.958841
"2018-02-05",34.611008,34.819733,32.258064,32.893738,42463657,27.424278
"2018-02-06",32.409866,33.662239,32.258064,33.472485,56035067,27.906792
"2018-02-07",33.33017,33.823528,33.178368,33.187855,30955980,27.669491
"2018-02-08",33.206833,33.368122,31.878557,31.907021,45850792,26.601629
"2018-02-09",32.438332,32.666035,31.49905,32.409866,49851776,27.020861
"2018-02-12",32.685009,33.083492,32.28653,32.884251,38743670,27.416368
"2018-02-13",32.798862,33.235294,32.64706,33.149906,21559570,27.637848
"2018-02-14",32.922199,33.529411,32.789375,33.387096,24494749,27.835606
"2018-02-15",33.557877,33.899429,33.28273,33.880455,22588379,28.246933
"2018-02-16",33.927895,34.781784,33.851994,34.402279,27659595,28.681986
"2018-02-20",34.174572,34.620495,34.041744,34.165085,27202370,28.484232
"2018-02-21",34.127136,34.71537,33.899429,33.927895,25872327,28.286478
"2018-02-22",34.032257,34.297913,33.78558,33.908916,23983454,28.270658
"2018-02-23",34.089184,34.440228,33.994308,34.402279,17940029,28.681986
"2018-02-26",34.43074,35.303604,34.354839,35.189754,25407302,29.338524
"2018-02-27",35.170776,35.332069,34.857685,34.914612,23543093,29.109127
"2018-02-28",35.132828,35.370018,34.449715,34.449715,28360927,28.721537
"2018-03-01",34.269451,34.411766,33.396584,33.804554,30282896,28.183649
"2018-03-02",33.728653,34.222012,33.586338,34.108158,22271336,28.436773
"2018-03-05",33.984821,34.421253,33.937382,34.269451,22319609,28.571245
"2018-03-06",34.383301,34.383301,33.918407,34.041744,18003479,28.381397
"2018-03-07",33.776093,34.231499,33.728653,34.089184,23440328,28.420944
"2018-03-08",34.146111,34.629982,34.089184,34.629982,21646630,28.87182
"2018-03-09",34.734344,35.028461,34.658443,34.886147,19300743,29.0854
"2018-03-12",35.028461,35.104362,34.629982,34.734344,26571656,28.958841
"2018-03-13",34.914612,35.066414,34.563568,34.867172,29560695,29.069582
"2018-03-14",34.95256,35.094875,34.326378,34.487667,23378458,28.753176
"2018-03-15",34.487667,34.924099,34.487667,34.705883,20508310,28.935099
"2018-03-16",34.76281,35.142315,34.743832,34.895638,34125253,29.093307
"2018-03-19",34.914612,34.914612,34.231499,34.468693,20003761,28.737358
"2018-03-20",34.506641,34.677418,34.269451,34.468693,20295824,28.737358
"2018-03-21",34.620495,34.848198,34.345352,34.411766,19071392,28.689892
"2018-03-22",34.184059,34.288425,33.652752,33.776093,22094686,28.159918
"2018-03-23",33.671726,33.681213,32.675522,32.722961,29385731,27.281898
"2018-03-26",33.140415,33.349148,32.561668,33.244781,24926468,27.716951
"2018-03-27",33.377609,33.73814,32.9981,33.21632,28835227,27.693228
"2018-03-28",33.377609,33.97533,33.320683,33.491463,26349684,27.922623
"2018-03-29",33.700191,33.842506,33.273247,33.671726,24804731,28.072905
"2018-04-02",33.605312,33.908916,32.979126,33.254269,28323299,27.724863
"2018-04-03",33.311195,33.908916,33.130932,33.851994,21347927,28.223204
"2018-04-04",33.510437,34.373814,33.434536,34.278938,22010682,28.579157
"2018-04-05",33.842506,34.155598,33.709679,33.899429,25781789,28.262747
"2018-04-06",33.73814,34.032257,33.102467,33.368122,22288200,27.81979
"2018-04-09",33.491463,34.089184,33.415562,33.643265,20457297,28.049181
"2018-04-10",34.155598,34.250473,33.889942,34.108158,20667254,28.436773
"2018-04-11",33.899429,34.222012,33.766602,33.956356,13879915,28.310209
"2018-04-12",34.184059,34.629982,34.127136,34.459202,23817976,28.729443
"2018-04-13",34.544594,34.629982,34.278938,34.459202,17774340,28.729443
