"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2014-04-17",56.560001,56.580002,56.119999,56.25,1311700,51.456875
"2014-04-21",56.369999,56.52,55.990002,56.240002,1150000,51.447727
"2014-04-22",56.169998,57.119999,56.169998,57.049999,1418500,52.188705
"2014-04-23",56.959999,57.380001,56.709999,57.209999,1663000,52.335068
"2014-04-24",57.5,57.849998,57.290001,57.630001,2398400,52.719288
"2014-04-25",57.57,57.650002,57.060001,57.23,2814100,52.353363
"2014-04-28",57.18,57.32,55.150002,55.970001,3803200,51.200737
"2014-04-29",56.200001,56.68,55.830002,56.619999,2933200,51.795349
"2014-04-30",57.279999,58.380001,57,57.93,4419400,52.99371
"2014-05-01",57.869999,58.57,57.84,58.549999,3077800,53.560871
"2014-05-02",58.299999,59.310001,58.200001,59.09,3612200,54.054878
"2014-05-05",59.02,59.029999,58.27,58.880001,2025800,53.862766
"2014-05-06",58.880001,58.900002,57.970001,58,2756000,53.057755
"2014-05-07",57.32,58.119999,57.240002,58.110001,3219800,53.158379
"2014-05-08",58.169998,58.669998,57.610001,57.889999,1925600,52.957115
"2014-05-09",58.209999,58.299999,57.509998,58.169998,2412400,53.213268
"2014-05-12",58.529999,59.540001,58.5,59.220001,1546200,54.17379
"2014-05-13",59.18,59.389999,58.790001,58.869999,1862900,53.85363
"2014-05-14",58.880001,58.970001,58.43,58.580002,1101600,53.588326
"2014-05-15",58.529999,58.529999,57.349998,57.93,1504400,52.99371
"2014-05-16",57.939999,58.360001,57.73,58.349998,1529400,53.377922
"2014-05-19",58.169998,58.689999,58,58.610001,1247400,53.615772
"2014-05-20",58.389999,58.959999,58.34,58.889999,2163800,53.871922
"2014-05-21",58.380001,58.919998,58.34,58.759998,2394500,53.936161
"2014-05-22",58.68,59.240002,58.619999,58.759998,2293000,53.936161
"2014-05-23",58.98,59.330002,58.82,59.259998,1619200,54.395115
"2014-05-27",59.57,59.75,59.349998,59.450001,1897800,54.569519
"2014-05-28",59.439999,59.57,59.200001,59.439999,1708700,54.560349
"2014-05-29",59.630001,60.720001,59.400002,60.68,2784300,55.698551
"2014-05-30",60.880001,61.73,60.75,61.619999,3821600,56.561382
"2014-06-02",61.709999,61.860001,61.049999,61.540001,3493200,56.487946
"2014-06-03",61.5,61.529999,61.150002,61.490002,2427200,56.442051
"2014-06-04",61.349998,61.759998,61.220001,61.720001,1874900,56.653164
"2014-06-05",61.950001,62.360001,61.57,62.310001,1644600,57.194736
"2014-06-06",62.32,62.860001,62.279999,62.849998,1525700,57.690407
"2014-06-09",62.57,63.139999,62.5,62.82,1568600,57.662865
"2014-06-10",62.740002,62.84,62.43,62.700001,1972300,57.552719
"2014-06-11",61.720001,61.98,61.450001,61.77,2622200,56.699055
"2014-06-12",61.830002,61.93,61.220001,61.450001,1702900,56.405334
