"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2021-04-20",124.949997,125.300003,120.669998,122.220001,2328500,121.677467
"2021-04-21",122.510002,123.970001,121.309998,123.910004,1329400,123.359962
"2021-04-22",123.440002,126.769997,122.849998,125.5,2235300,124.942902
"2021-04-23",125.940002,127.43,125.559998,127.400002,1394600,126.834465
"2021-04-26",128.600006,130.190002,127.120003,127.57,1357400,127.003708
"2021-04-27",127.720001,130.350006,127.589996,130.009995,1712900,129.432877
"2021-04-28",129.820007,130.25,128.960007,129.110001,1328800,128.53688
"2021-04-29",130.880005,132.690002,128.449997,130.389999,1597000,129.811188
"2021-04-30",129.710007,130.059998,127.580002,128.699997,1263900,128.128677
"2021-05-03",129.639999,130.169998,128.389999,128.669998,1375300,128.098831
"2021-05-04",128.169998,128.850006,125.690002,128.25,2574900,127.680702
"2021-05-05",127.110001,128.110001,122.32,122.620003,3767400,122.075699
"2021-05-06",122.150002,122.730003,119.470001,120.769997,3108500,120.233894
"2021-05-07",121.199997,123.540001,119.800003,123.440002,2097100,122.892052
"2021-05-10",122.470001,123.699997,121.080002,121.580002,2219000,121.040306
"2021-05-11",119.260002,122.160004,118.160004,121.830002,1640400,121.2892
"2021-05-12",121.029999,122.260002,117.540001,118.290001,1984200,117.764908
"2021-05-13",118.839996,121.160004,118.230003,120.160004,1648500,119.62661
"2021-05-14",121.290001,124.43,120.449997,123.610001,1470700,123.061287
"2021-05-17",123.43,123.43,120.389999,121.709999,1428900,121.169724
"2021-05-18",122.150002,123.370003,120.720001,120.790001,2237100,120.253815
"2021-05-19",118.239998,120.660004,117.889999,120.57,1511900,120.03479
"2021-05-20",120.709999,121.199997,119.050003,120.580002,1484400,120.044739
"2021-05-21",121.32,122.220001,120.699997,120.980003,1429500,120.442963
"2021-05-24",122.089996,123.900002,121.32,123.589996,2057700,123.041374
"2021-05-25",124.629997,125.309998,123.349998,123.800003,1374200,123.25045
"2021-05-26",124.419998,126.400002,123.919998,126.220001,1523000,125.659706
"2021-05-27",127,127.68,125.110001,126.269997,2395700,125.70948
"2021-05-28",125.900002,126.32,124.389999,125.269997,893700,124.713921
"2021-06-01",127.599998,127.599998,125.800003,126.610001,1489100,126.047974
"2021-06-02",126.879997,127,124.559998,125.169998,1462100,124.614365
"2021-06-03",124.129997,124.5,122.190002,123.129997,1331400,122.58342
"2021-06-04",123.75,124.82,122.93,124.75,1657100,124.19622
"2021-06-07",125.529999,125.809998,124.529999,124.900002,1353900,124.345566
"2021-06-08",125.169998,128.160004,124.760002,127.839996,1978500,127.272514
"2021-06-09",128.350006,128.770004,126.379997,126.449997,1508900,125.888672
"2021-06-10",126.790001,127.269997,125.260002,126.589996,1741800,126.028053
"2021-06-11",126.790001,128.740005,126.610001,128.610001,1590000,128.039093
"2021-06-14",128.350006,129.850006,127.589996,128.610001,1571100,128.039093
"2021-06-15",128.369995,129.970001,128.130005,129.25,2571100,128.676254
"2021-06-16",129.479996,129.809998,126.5,126.93,1970600,126.366547
"2021-06-17",127.010002,128.229996,125.260002,126.239998,1857900,125.679611
"2021-06-18",124.489998,125.209999,123.389999,123.720001,2006600,123.170807
