"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2016-09-20",51.09,51.66,50.25,50.310001,3718400,50.310001
"2016-09-21",50.470001,50.75,49.299999,50.23,4563100,50.23
"2016-09-22",50.68,52.040001,50.369999,51.040001,5482200,51.040001
"2016-09-23",50.889999,51.330002,50.490002,50.950001,3411600,50.950001
"2016-09-26",50.529999,50.889999,49.279999,49.450001,4693600,49.450001
"2016-09-27",49.5,50.790001,49.400002,50.41,3750600,50.41
"2016-09-28",50.669998,51.889999,50.419998,50.66,3760800,50.66
"2016-09-29",50.580002,51.68,50.41,51.139999,5857500,51.139999
"2016-09-30",51.389999,52.93,51.380001,52.470001,5366300,52.470001
"2016-10-03",52.240002,53.400002,52,53.25,4448100,53.25
"2016-10-04",54.209999,55.25,53.549999,53.73,5658200,53.73
"2016-10-05",53.82,54.139999,53.48,53.82,2565500,53.82
"2016-10-06",53.599998,54.060001,52.869999,53.98,2731300,53.98
"2016-10-07",53.790001,54,52.669998,52.82,2577500,52.82
"2016-10-10",53.060001,54.5,53.060001,54.200001,3989900,54.200001
"2016-10-11",54.810001,54.939999,53.18,53.52,5937700,53.52
"2016-10-12",53.759998,54.07,52.330002,52.880001,5332800,52.880001
"2016-10-13",52.049999,54.029999,51.34,53.689999,8065400,53.689999
"2016-10-14",54.16,54.57,52.98,53.200001,7416300,53.200001
"2016-10-17",53.450001,54.529999,52.93,53.029999,6398200,53.029999
"2016-10-18",52.540001,55.009998,52.439999,53.68,11297300,53.68
"2016-10-19",53.990002,55.490002,53.75,55.439999,7538300,55.439999
"2016-10-20",55.290001,56.810001,55.110001,56.57,9571500,56.57
"2016-10-21",56.209999,56.580002,55.169998,55.599998,3939800,55.599998
"2016-10-24",55.91,56.25,54.950001,55.040001,2875400,55.040001
"2016-10-25",54.93,55.889999,54.540001,54.630001,3151000,54.630001
"2016-10-26",53.110001,55.34,52.209999,53.98,6115400,53.98
"2016-10-27",54.299999,55.200001,53.59,54.419998,4902100,54.419998
"2016-10-28",54.59,55.450001,54.380001,55.110001,5086600,55.110001
"2016-10-31",55.619999,56.25,54.970001,56.23,5329500,56.23
"2016-11-01",56.25,56.970001,55.529999,56,4709900,56
"2016-11-02",55.950001,56.860001,55.759998,56.139999,3958000,56.139999
"2016-11-03",56.66,57.240002,55.790001,55.939999,3697600,55.939999
"2016-11-04",56.009998,57.689999,55.75,57.23,5021200,57.23
"2016-11-07",57.959999,58.77,57.549999,58.529999,4495700,58.529999
"2016-11-08",58.52,59.450001,57.84,59.310001,4078300,59.310001
"2016-11-09",58.240002,60.360001,57.799999,60.130001,5343600,60.130001
"2016-11-10",60.43,61.599998,59.790001,59.939999,5716100,59.939999
"2016-11-11",59.849998,60.580002,58.779999,60.25,5149600,60.25
"2016-11-14",60.540001,62.939999,60.369999,62.939999,6663600,62.939999
"2016-11-15",65.470001,67.699997,63.470001,66.059998,10423000,66.059998
"2016-11-16",65.75,66.660004,64.900002,65.5,4938400,65.5
"2016-11-17",65.620003,68.019997,65.510002,67.860001,4909400,67.860001
"2016-11-18",68.050003,68.470001,67.239998,68.290001,4963600,68.290001
"2016-11-21",68.220001,69.290001,67.760002,68.989998,9001500,68.989998
"2016-11-22",69.080002,70.150002,69,69.5,4989800,69.5
"2016-11-23",69.349998,69.980003,68.830002,69.879997,3760700,69.879997
"2016-11-25",69.809998,70.18,69.550003,70.089996,1410400,70.089996
"2016-11-28",69.949997,70.150002,68.610001,69.25,4969600,69.25
"2016-11-29",69.169998,70.150002,68.940002,69.720001,2532100,69.720001
"2016-11-30",68.510002,69.690002,67.580002,68.949997,4166800,68.949997
"2016-12-01",68.669998,69.870003,68.300003,68.470001,3212700,68.470001
"2016-12-02",69.120003,69.760002,68.540001,69.269997,2577300,69.269997
"2016-12-05",69.910004,69.949997,68,68.260002,3396900,68.260002
"2016-12-06",69.410004,71.040001,69.010002,70.970001,4375200,70.970001
"2016-12-07",70.68,73,70.25,72.43,4058100,72.43
"2016-12-08",72.459999,73.080002,71.5,72.739998,2875300,72.739998
"2016-12-09",75.019997,76.129997,74.440002,75.169998,5148600,75.169998
"2016-12-12",74.300003,74.360001,72.690002,73.239998,3115300,73.239998
"2016-12-13",73.379997,73.980003,72.139999,72.550003,2780600,72.550003
"2016-12-14",72.599998,74,72,72.940002,3826700,72.940002
"2016-12-15",73.82,76.800003,73.82,74.790001,4753700,74.790001
"2016-12-16",74.910004,76.199997,74.059998,74.419998,6567100,74.419998
"2016-12-19",74.25,75.379997,73.769997,74.480003,2589900,74.480003
"2016-12-20",75.32,76.309998,74.779999,76.050003,2820400,76.050003
"2016-12-21",75.730003,76.099998,75.160004,75.720001,1562200,75.720001
"2016-12-22",75.620003,75.730003,73.800003,74.190002,2292700,74.190002
"2016-12-23",74.400002,74.830002,74.129997,74.790001,1623400,74.790001
"2016-12-27",74.779999,75.220001,74.5,74.669998,1092400,74.669998
"2016-12-28",75,75.18,73.349998,73.529999,1946800,73.529999
"2016-12-29",73.529999,74.190002,72.93,73.279999,1272400,73.279999
"2016-12-30",73.43,73.43,72.370003,72.879997,1720800,72.879997
"2017-01-03",74.019997,74.019997,72.150002,72.709999,2517600,72.709999
"2017-01-04",72.449997,73.790001,72.449997,73.019997,2199300,73.019997
"2017-01-05",71.989998,73,70.309998,70.93,3579000,70.93
"2017-01-06",70.980003,71.889999,69.75,71.370003,3648100,71.370003
"2017-01-09",71.059998,72,70.879997,71.279999,1937700,71.279999
"2017-01-10",71.470001,74.339996,71.440002,73.660004,3545200,73.660004
"2017-01-11",75.510002,76.75,74.940002,75.040001,5185900,75.040001
"2017-01-12",74.639999,75.639999,72.900002,74,4144400,74
"2017-01-13",74.029999,74.75,73.889999,74.32,2949500,74.32
"2017-01-17",73.940002,75.089996,73.550003,73.739998,4151500,73.739998
"2017-01-18",73,74.93,72.410004,74,4568900,74
"2017-01-19",74.059998,74.839996,73.260002,74.019997,2768100,74.019997
"2017-01-20",74.300003,75.480003,74.089996,75.239998,2966200,75.239998
"2017-01-23",74.660004,75.089996,72.639999,72.75,4420200,72.75
"2017-01-24",73.080002,73.580002,72.660004,73.18,2665300,73.18
