"SP500.203020.Open","SP500.203020.High","SP500.203020.Low","SP500.203020.Close","SP500.203020.Volume","SP500.203020.Adjusted","Date"
161,164.410004,160.639999,161.779999,142304000,161.779999,"2020-07-21"
160.289993,163.270004,159.279999,159.669998,118821000,159.669998,"2020-07-22"
157.889999,168.320007,155.309998,161.779999,251507100,161.779999,"2020-07-23"
159.850006,160.660004,156.419998,156.929993,126308300,156.929993,"2020-07-24"
156.860001,158.839996,153.929993,155.169998,132630400,155.169998,"2020-07-27"
154.800003,161.210007,154.800003,158.979996,134663300,158.979996,"2020-07-28"
159.419998,160.380005,154.789993,156.369995,110021900,156.369995,"2020-07-29"
153.429993,155,152.210007,152.539993,102276800,152.539993,"2020-07-30"
151.279999,152.710007,148.770004,152.009995,111135600,152.009995,"2020-07-31"
150.770004,155.479996,148.149994,153.740005,115678100,153.740005,"2020-08-03"
154.820007,159.600006,154.419998,155.330002,115538000,155.330002,"2020-08-04"
158.449997,165.119995,156.509995,162.389999,206036400,162.389999,"2020-08-05"
164.360001,167.25,160.600006,165.509995,229293400,165.509995,"2020-08-06"
163.779999,166.169998,162.300003,166.130005,117611300,166.130005,"2020-08-07"
168.179993,178.300003,168.149994,177.940002,222499800,177.940002,"2020-08-10"
187.369995,187.889999,176.880005,177.889999,245968700,177.889999,"2020-08-11"
180.490005,181.199997,172.080002,176,153896600,176,"2020-08-12"
172.779999,179.100006,172.520004,173.300003,108983900,173.300003,"2020-08-13"
170.539993,175.619995,170.539993,174.360001,96008300,174.360001,"2020-08-14"
174.139999,174.559998,167.720001,167.800003,103089200,167.800003,"2020-08-17"
167.429993,169.910004,165.389999,167.309998,75036800,167.309998,"2020-08-18"
168.630005,176.479996,167.330002,167.919998,136947200,167.919998,"2020-08-19"
164.899994,168.570007,163.770004,167.529999,94107600,167.529999,"2020-08-20"
166.910004,168.809998,165.520004,165.830002,81849600,165.830002,"2020-08-21"
168.350006,179.509995,167.410004,179.479996,203212300,179.479996,"2020-08-24"
181.229996,182.830002,175.220001,179,163133800,179,"2020-08-25"
177.889999,179.220001,175.309998,175.869995,94693700,175.869995,"2020-08-26"
180.919998,190.160004,180.919998,182.600006,207981500,182.600006,"2020-08-27"
184.869995,189.119995,182.179993,188.860001,127145200,188.860001,"2020-08-28"
188,188.899994,182.169998,182.169998,102969500,182.169998,"2020-08-31"
177.660004,188.899994,177.660004,182.639999,135147600,182.639999,"2020-09-01"
182.990005,187.660004,179.910004,186.940002,114658300,186.940002,"2020-09-02"
189.259995,196.059998,182.300003,186.929993,187514400,186.929993,"2020-09-03"
189.75,193.070007,183.139999,190.199997,141711500,190.199997,"2020-09-04"
188.360001,196.169998,187.729996,193.039993,149438700,193.039993,"2020-09-08"
191.009995,191.770004,184.869995,187.240005,137076400,187.240005,"2020-09-09"
188.990005,191.729996,186.600006,187.169998,105243700,187.169998,"2020-09-10"
187.210007,188.860001,184.320007,186.419998,87671700,186.419998,"2020-09-11"
188.690002,192.350006,187.509995,191.759995,86123800,191.759995,"2020-09-14"
192.460007,197.850006,192.220001,194.029999,94155800,194.029999,"2020-09-15"
194.050003,204.039993,192.220001,201.009995,156283000,201.009995,"2020-09-16"
196.929993,202.889999,194.960007,196.470001,123739200,196.470001,"2020-09-17"
194.539993,202.889999,189.630005,191.300003,147403100,191.300003,"2020-09-18"
181.229996,183.460007,174.059998,176.639999,141203400,176.639999,"2020-09-21"
176.320007,180.289993,176.130005,178.880005,78873300,178.880005,"2020-09-22"
180.100006,183.850006,174.919998,174.940002,92234400,174.940002,"2020-09-23"
171.820007,174.740005,166.179993,171.850006,108857500,171.850006,"2020-09-24"
170.669998,176.080002,170.479996,175.979996,94295600,175.979996,"2020-09-25"
180.899994,187.300003,178.309998,183.169998,131513400,183.169998,"2020-09-28"
181.050003,181.470001,176.940002,178.539993,93102300,178.539993,"2020-09-29"
181.559998,186.070007,177.940002,178.550003,122389000,178.550003,"2020-09-30"
180.320007,182.559998,178.470001,181.100006,89394900,181.100006,"2020-10-01"
172.720001,188.289993,172.720001,185.190002,187324700,185.190002,"2020-10-02"
187.729996,187.860001,182.979996,185.539993,95953600,185.539993,"2020-10-05"
187.839996,189.270004,179.600006,179.820007,143984600,179.820007,"2020-10-06"
