Date,num_vaccine,Distributor
05/30/2021,45516700.0,Janssen
05/30/2022,62659500.0,Janssen
05/31/2021,45516700.0,Janssen
05/31/2022,62659500.0,Janssen
06/01/2021,45516700.0,Janssen
06/01/2022,62659500.0,Janssen
06/02/2021,45548000.0,Janssen
06/02/2022,62672500.0,Janssen
06/03/2021,45799000.0,Janssen
06/03/2022,62679700.0,Janssen
06/04/2021,45998900.0,Janssen
06/04/2022,62689700.0,Janssen
06/05/2021,46069300.0,Janssen
06/05/2022,62689700.0,Janssen
06/06/2021,46069300.0,Janssen
06/06/2022,62689700.0,Janssen
06/07/2021,46069300.0,Janssen
06/07/2022,62694500.0,Janssen
06/08/2021,46069300.0,Janssen
06/08/2022,62700200.0,Janssen
06/09/2021,46069300.0,Janssen
06/09/2022,62736800.0,Janssen
06/10/2021,46060600.0,Janssen
06/10/2022,62742400.0,Janssen
06/11/2021,46060200.0,Janssen
06/11/2022,62745600.0,Janssen
06/12/2021,46060400.0,Janssen
06/12/2022,62745600.0,Janssen
06/13/2021,46060400.0,Janssen
06/13/2022,62745800.0,Janssen
06/14/2021,46060400.0,Janssen
06/14/2022,62753000.0,Janssen
06/15/2021,46060400.0,Janssen
06/15/2022,62758800.0,Janssen
06/16/2021,46060400.0,Janssen
06/16/2022,62772200.0,Janssen
06/17/2021,46137300.0,Janssen
06/18/2021,46137300.0,Janssen
06/19/2021,46137300.0,Janssen
06/20/2021,46137300.0,Janssen
06/21/2021,46137300.0,Janssen
06/22/2021,46137300.0,Janssen
06/22/2022,62793100.0,Janssen
06/23/2021,46137300.0,Janssen
06/24/2021,46137300.0,Janssen
06/25/2021,46137300.0,Janssen
06/26/2021,46137300.0,Janssen
06/27/2021,46137300.0,Janssen
06/28/2021,46137300.0,Janssen
06/29/2021,46137300.0,Janssen
06/29/2022,62862700.0,Janssen
06/30/2021,46137300.0,Janssen
07/01/2021,46137300.0,Janssen
07/02/2021,46137300.0,Janssen
07/03/2021,46137300.0,Janssen
